PointOrder,Latitude,Longitude
233,54.427500,107.667500
234,54.436944,107.676944
235,54.444722,107.676667
236,54.450833,107.681111
237,54.464167,107.681111
238,54.470833,107.677778
239,54.477222,107.679444
240,54.479444,107.683333
241,54.489167,107.696667
242,54.490278,107.698333
243,54.497222,107.698333
244,54.500556,107.698889
245,54.504167,107.699444
246,54.506111,107.701389
247,54.508333,107.702778
248,54.515556,107.705833
249,54.518333,107.706944
250,54.519444,107.706944
251,54.520833,107.710000
252,54.522222,107.711389
253,54.523611,107.712500
254,54.531944,107.718889
255,54.726111,108.380833
256,54.729722,108.379722
257,54.729722,108.379167
258,54.733333,108.378611
259,54.732778,108.374167
260,54.732778,108.373333
261,54.733611,108.372500
262,54.733889,108.369722
263,54.735556,108.369167
264,54.736389,108.367500
265,54.737222,108.367500
266,54.739722,108.367500
267,54.741667,108.369167
268,54.742500,108.369444
269,54.743333,108.370000
270,54.744444,108.370556
271,54.746389,108.372500
272,54.748889,108.373889
273,54.750833,108.373611
274,54.752222,108.373333
275,54.754167,108.373611
276,54.756111,108.374167
277,54.757500,108.374444
278,54.759722,108.375556
279,54.762222,108.376944
280,54.764167,108.377500
281,54.765556,108.378333
282,54.768056,108.379444
283,54.770000,108.379722
284,54.771389,108.380556
285,54.773333,108.380833
286,54.776111,108.381389
287,54.777500,108.381667
288,54.780278,108.382500
289,54.782500,108.383333
290,54.784722,108.384444
291,54.787500,108.385556
292,54.789444,108.386111
293,54.791944,108.386944
294,54.794167,108.387500
295,54.796389,108.388333
296,54.798889,108.389444
297,54.801667,108.390833
298,54.804444,108.392500
299,54.807222,108.393611
300,54.809444,108.394444
301,54.811944,108.395278
302,54.814444,108.396389
303,54.816389,108.396944
304,54.818611,108.398056
305,54.821111,108.398889
325,55.630278,108.972222
326,55.636111,108.970278
327,55.641944,108.971111
328,55.647222,108.971667
329,55.651667,108.971389
330,55.656111,108.970833
331,55.660556,108.970000
332,55.665000,108.968889
333,55.669167,108.968056
334,55.673611,108.967222
335,55.678056,108.966111
336,55.682222,108.965000
337,55.686667,108.964167
338,55.691111,108.962778
339,55.695556,108.961389
340,55.700000,108.960278
341,55.704444,108.958889
342,55.708889,108.957778
343,55.713056,108.956944
344,55.717222,108.955833
345,55.721389,108.954722
346,55.725556,108.953889
347,55.729722,108.952778
348,55.733889,108.951667
349,55.738056,108.950556
350,55.742222,108.949722
351,55.746389,108.948889
352,55.750556,108.947778
353,55.754722,108.946667
354,55.758889,108.945556
355,55.763056,108.944444
